2,14,False,True,False,18
(-12.2, 1.5, 1.0)
plant,bush01(Clone)(42.0, 0.0, 95.0)
plant,bush06(Clone)(7.0, 0.0, 78.0)
plant,bush03(Clone)(47.0, 0.0, 74.0)
plant,bush04(Clone)(-40.0, 0.0, -100.0)
plant,bush03(Clone)(-1.0, 0.0, -124.0)
plant,tree02(Clone)(37.0, 0.0, 166.0)
plant,bush04(Clone)(122.0, 0.0, 71.0)
plant,bush05(Clone)(39.0, 0.0, 86.0)
plant,tree04(Clone)(-192.0, 0.0, -152.0)
plant,bush02(Clone)(-154.0, 0.0, -76.0)
plant,bush03(Clone)(27.0, 0.0, 185.0)
plant,bush03(Clone)(-102.0, 0.0, -9.0)
plant,bush06(Clone)(166.0, 0.0, 196.0)
plant,tree03(Clone)(-159.0, 0.0, -144.0)
plant,bush05(Clone)(174.0, 0.0, 161.0)
plant,bush01(Clone)(-187.0, 0.0, 84.0)
plant,bush04(Clone)(1.0, 0.0, -49.0)
plant,bush06(Clone)(-189.0, 0.0, -125.0)
plant,bush04(Clone)(-162.0, 0.0, 34.0)
plant,tree04(Clone)(137.0, 0.0, 173.0)
plant,tree04(Clone)(-170.0, 0.0, -175.0)
plant,bush01(Clone)(-182.0, 0.0, 172.0)
plant,tree03(Clone)(-121.0, 0.0, -177.0)
plant,bush03(Clone)(-153.0, 0.0, -167.0)
plant,bush06(Clone)(-173.0, 0.0, 61.0)
plant,bush06(Clone)(-137.0, 0.0, -40.0)
plant,bush01(Clone)(-115.0, 0.0, -50.0)
plant,bush02(Clone)(166.0, 0.0, 92.0)
plant,bush02(Clone)(40.0, 0.0, 91.0)
plant,tree03(Clone)(134.0, 0.0, 87.0)
plant,bush02(Clone)(106.0, 0.0, -97.0)
plant,tree04(Clone)(73.0, 0.0, -64.0)
plant,bush06(Clone)(130.0, 0.0, -137.0)
plant,tree04(Clone)(9.0, 0.0, 21.0)
plant,bush02(Clone)(7.0, 0.0, -100.0)
plant,bush03(Clone)(-57.0, 0.0, 33.0)
plant,tree04(Clone)(21.0, 0.0, 110.0)
plant,bush02(Clone)(189.0, 0.0, -36.0)
plant,bush05(Clone)(-103.0, 0.0, -11.0)
plant,tree01(Clone)(-98.0, 0.0, -176.0)
plant,tree02(Clone)(197.0, 0.0, -99.0)
plant,tree01(Clone)(-64.0, 0.0, 166.0)
plant,bush04(Clone)(170.0, 0.0, 61.0)
plant,bush06(Clone)(169.0, 0.0, 120.0)
plant,bush03(Clone)(-192.0, 0.0, 4.0)
plant,bush01(Clone)(-40.0, 0.0, -106.0)
plant,bush05(Clone)(-25.0, 0.0, 28.0)
plant,tree01(Clone)(195.0, 0.0, -89.0)
plant,bush02(Clone)(-43.0, 0.0, -171.0)
plant,bush04(Clone)(91.0, 0.0, -186.0)
plant,bush03(Clone)(55.0, 0.0, -176.0)
plant,tree02(Clone)(102.0, 0.0, 162.0)
plant,bush04(Clone)(196.0, 0.0, -46.0)
plant,bush03(Clone)(-29.0, 0.0, 8.0)
plant,bush01(Clone)(-165.0, 0.0, -143.0)
plant,tree02(Clone)(114.0, 0.0, -118.0)
plant,bush05(Clone)(126.0, 0.0, -52.0)
plant,tree01(Clone)(-141.0, 0.0, -99.0)
plant,bush05(Clone)(148.0, 0.0, -40.0)
plant,bush01(Clone)(-67.0, 0.0, 55.0)
plant,tree03(Clone)(31.0, 0.0, -164.0)
plant,tree02(Clone)(35.0, 0.0, -33.0)
plant,bush06(Clone)(74.0, 0.0, -70.0)
plant,bush06(Clone)(65.0, 0.0, 165.0)
plant,bush02(Clone)(143.0, 0.0, 44.0)
plant,tree01(Clone)(70.0, 0.0, -92.0)
plant,tree04(Clone)(16.0, 0.0, 36.0)
plant,bush03(Clone)(-160.0, 0.0, 140.0)
plant,tree02(Clone)(-88.0, 0.0, 9.0)
plant,tree03(Clone)(-63.0, 0.0, -94.0)
plant,tree02(Clone)(-58.0, 0.0, -74.0)
plant,tree04(Clone)(76.0, 0.0, 83.0)
plant,tree04(Clone)(-196.0, 0.0, -45.0)
plant,bush04(Clone)(164.0, 0.0, -101.0)
plant,bush04(Clone)(143.0, 0.0, -168.0)
plant,bush01(Clone)(109.0, 0.0, 93.0)
plant,bush01(Clone)(93.0, 0.0, -198.0)
plant,bush03(Clone)(76.0, 0.0, -184.0)
plant,bush04(Clone)(184.0, 0.0, -4.0)
plant,bush06(Clone)(-163.0, 0.0, 53.0)
plant,tree04(Clone)(-57.0, 0.0, 191.0)
plant,tree02(Clone)(-8.0, 0.0, -199.0)
plant,tree02(Clone)(-59.0, 0.0, 32.0)
plant,tree01(Clone)(-84.0, 0.0, -15.0)
plant,bush03(Clone)(93.0, 0.0, 104.0)
plant,tree01(Clone)(-12.0, 0.0, -65.0)
plant,tree02(Clone)(153.0, 0.0, 70.0)
plant,tree01(Clone)(28.0, 0.0, -20.0)
plant,tree02(Clone)(104.0, 0.0, -1.0)
plant,bush06(Clone)(107.0, 0.0, -25.0)
plant,bush03(Clone)(-106.0, 0.0, -51.0)
plant,bush02(Clone)(35.0, 0.0, -17.0)
plant,bush05(Clone)(-35.0, 0.0, -70.0)
plant,bush04(Clone)(-36.0, 0.0, -40.0)
plant,bush03(Clone)(-26.0, 0.0, -74.0)
plant,tree01(Clone)(182.0, 0.0, -162.0)
plant,bush01(Clone)(-170.0, 0.0, 83.0)
plant,bush05(Clone)(-74.0, 0.0, -86.0)
plant,tree03(Clone)(-96.0, 0.0, 48.0)
plant,bush03(Clone)(-175.0, 0.0, 163.0)
plant,tree03(Clone)(77.0, 0.0, -60.0)
plant,bush04(Clone)(76.0, 0.0, 187.0)
plant,tree02(Clone)(-20.0, 0.0, 150.0)
plant,tree03(Clone)(-53.0, 0.0, -116.0)
plant,tree03(Clone)(53.0, 0.0, -42.0)
plant,bush05(Clone)(-74.0, 0.0, 160.0)
plant,bush04(Clone)(116.0, 0.0, -6.0)
plant,bush06(Clone)(149.0, 0.0, -129.0)
plant,bush03(Clone)(110.0, 0.0, 180.0)
plant,bush03(Clone)(116.0, 0.0, 140.0)
plant,bush01(Clone)(97.0, 0.0, -69.0)
plant,bush04(Clone)(20.0, 0.0, 34.0)
plant,bush05(Clone)(30.0, 0.0, -51.0)
plant,bush01(Clone)(-95.0, 0.0, -91.0)
plant,bush02(Clone)(31.0, 0.0, -72.0)
plant,tree04(Clone)(-163.0, 0.0, -40.0)
plant,bush01(Clone)(162.0, 0.0, 49.0)
plant,bush02(Clone)(23.0, 0.0, 77.0)
plant,bush03(Clone)(-150.0, 0.0, 100.0)
plant,tree03(Clone)(-148.0, 0.0, 94.0)
plant,bush04(Clone)(68.0, 0.0, -167.0)
plant,bush02(Clone)(106.0, 0.0, 171.0)
plant,bush03(Clone)(-150.0, 0.0, -145.0)
plant,tree03(Clone)(-37.0, 0.0, 72.0)
plant,bush03(Clone)(-27.0, 0.0, 151.0)
plant,tree04(Clone)(-170.0, 0.0, -121.0)
plant,bush05(Clone)(83.0, 0.0, 51.0)
plant,bush01(Clone)(-89.0, 0.0, 123.0)
plant,bush05(Clone)(14.0, 0.0, -124.0)
plant,bush05(Clone)(-25.0, 0.0, 74.0)
plant,bush01(Clone)(33.0, 0.0, 195.0)
plant,tree01(Clone)(176.0, 0.0, 186.0)
plant,bush01(Clone)(99.0, 0.0, 146.0)
plant,tree04(Clone)(-9.0, 0.0, -48.0)
plant,bush05(Clone)(-21.0, 0.0, -154.0)
plant,tree02(Clone)(105.0, 0.0, 38.0)
plant,bush05(Clone)(196.0, 0.0, 93.0)
plant,bush04(Clone)(-56.0, 0.0, 40.0)
plant,bush03(Clone)(194.0, 0.0, 194.0)
plant,tree04(Clone)(-103.0, 0.0, 74.0)
plant,bush01(Clone)(-37.0, 0.0, 15.0)
plant,tree04(Clone)(26.0, 0.0, 99.0)
plant,bush01(Clone)(-129.0, 0.0, 121.0)
plant,bush02(Clone)(-128.0, 0.0, 143.0)
plant,tree01(Clone)(186.0, 0.0, -4.0)
plant,tree01(Clone)(-135.0, 0.0, -37.0)
plant,bush05(Clone)(103.0, 0.0, 7.0)
plant,tree03(Clone)(108.0, 0.0, 182.0)
plant,bush03(Clone)(44.0, 0.0, 27.0)
plant,bush03(Clone)(103.0, 0.0, 113.0)
plant,bush04(Clone)(-193.0, 0.0, -72.0)
plant,tree03(Clone)(-120.0, 0.0, 83.0)
plant,tree02(Clone)(-181.0, 0.0, -158.0)
plant,bush02(Clone)(128.0, 0.0, 103.0)
plant,tree03(Clone)(42.0, 0.0, 181.0)
plant,tree02(Clone)(-19.0, 0.0, -180.0)
plant,bush04(Clone)(142.0, 0.0, -92.0)
plant,bush01(Clone)(-85.0, 0.0, 112.0)
plant,bush02(Clone)(-77.0, 0.0, -170.0)
plant,bush06(Clone)(-119.0, 0.0, 171.0)
plant,tree01(Clone)(-149.0, 0.0, -147.0)
plant,bush01(Clone)(-28.0, 0.0, -123.0)
plant,tree04(Clone)(10.0, 0.0, 75.0)
plant,bush01(Clone)(-200.0, 0.0, -126.0)
plant,bush03(Clone)(65.0, 0.0, 147.0)
plant,bush01(Clone)(15.0, 0.0, 55.0)
plant,tree02(Clone)(159.0, 0.0, 38.0)
plant,bush06(Clone)(34.0, 0.0, 81.0)
plant,bush02(Clone)(194.0, 0.0, 106.0)
plant,bush04(Clone)(189.0, 0.0, 24.0)
